Бланшо Морис;Неописуемое сообщество;философия;119741;soobs;1;0
Блейк Вильям;Стихи;стихи;116874;st_marsh;1;1
Близнец И.А.;Интеллектуальная собственность и закон. Теоритические в;закон. акт;311038;zakon;1;1
Блок Александр;Последние дни императорской власти;классика;246977;posleddn;1;0
Блок Александр;Поэмы и стихи;стихи;313400;bloks;1;0
Блок Лоренс;Рассказы;драма;263298;block_l;1;0
Блок Роберт;Тень маньяка;триллер;184145;blok1;1;0
Блох Артур;Законы Мэрфи;юмор;50417;marphi;1;0
Блох Роберт;Психопат;драма;274369;bloh1;1;0
Блум Анатолий;Без записок;религия;99559;surozh;1;0
Блэтти Уильям;Изгоняющий дьявола;триллер;493917;izgonya;1;0
Бляхин Павел;Красные дьяволята;детская;152873;byhin1r;1;0
Богатырев А.;Вождение автомобиля;учеба;101100;car1;1;0
Богатырев А.;Руководство полного идиота по программированию на C;учеба;123352;starterk;1;0
Богатырев А.;Хрестоматия по программированию на Си в Unix;учеба;1033068;book-c;1;0
Богачева О.;Школа выживания, или 56 способов защитить ребенка...;криминал;646433;sechild;1;0
Богданов А.;Очерки организационной науки;наука;602636;bogda001;1;0
Богданов Е.Ф.;Вьюга;драма;74427;bogdan01;1;0
Богданов Е.Ф.;Лодейный кормщик;история;127056;ryabov;1;0
Богданов Е.Ф.;Ожерелье Иомалы;история;160791;bogdan02;1;0
Богданов Е.Ф.;Поморы 1-3;история;1173995;pomors;1;0
Богданов Е.Ф.;Чайный клипер;история;299361;kliper1;1;0
Богданов Е.Ф.;Черный соболь;история;298333;bogdan03;1;0
Богданов Н.В.;О смелых и умелых;военные;365351;smelye;1;1
Богданов Н.Г.;В небе - гвардейский Гатчинский;военные;626097;gatchin;1;1
Богуш Дмитрий;К вопросу о некоторых аспектах взаимодействия понятия;наука;41954;int_prop;1;0
Бодлер Шарль;Поэма гашиша;философия;98415;gashish;1;1
Бодлер Шарль;Цветы зла;стихи;166200;flowers;1;0
Бодрийар Жан;В тени молчаливого большинства;политика;135925;silent;1;1
Бодрийяр Жан;Прозрачность зла;философия;328375;prozla;1;0
Бойко Б.Л.;Военный жаргон ветеранов Афганской войны 1979-1989 гг.;словарь;172462;afgan;1;0
