<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZP;60;03/07/23;120000;167.4800000
GAZP;60;03/07/23;130000;167.4500000
GAZP;60;03/07/23;140000;167.4300000
GAZP;60;03/07/23;150000;167.3100000
GAZP;60;03/07/23;160000;167.3300000
GAZP;60;03/07/23;170000;167.1100000
GAZP;60;03/07/23;180000;166.9300000
GAZP;60;03/07/23;190000;166.7500000
GAZP;60;03/07/23;200000;166.8600000
GAZP;60;03/07/23;210000;166.9000000
GAZP;60;03/07/23;220000;166.9300000
GAZP;60;03/07/23;230000;166.8700000
GAZP;60;04/07/23;000000;166.8200000
GAZP;60;04/07/23;110000;166.1800000
GAZP;60;04/07/23;120000;166.1600000
GAZP;60;04/07/23;130000;166.0200000
GAZP;60;04/07/23;140000;166.0000000
GAZP;60;04/07/23;150000;166.4100000
GAZP;60;04/07/23;160000;166.2600000
GAZP;60;04/07/23;170000;166.0000000
GAZP;60;04/07/23;180000;166.3200000
GAZP;60;04/07/23;190000;166.4000000
GAZP;60;04/07/23;200000;166.1300000
GAZP;60;04/07/23;210000;166.1300000
GAZP;60;04/07/23;220000;165.7900000
GAZP;60;04/07/23;230000;165.6200000
GAZP;60;05/07/23;000000;165.5000000
GAZP;60;05/07/23;110000;166.5100000
GAZP;60;05/07/23;120000;166.3300000
GAZP;60;05/07/23;130000;165.8800000
GAZP;60;05/07/23;140000;165.6800000
GAZP;60;05/07/23;150000;165.8400000
GAZP;60;05/07/23;160000;165.9400000
GAZP;60;05/07/23;170000;165.9700000
GAZP;60;05/07/23;180000;165.7000000
GAZP;60;05/07/23;190000;165.3500000
GAZP;60;05/07/23;200000;165.7700000
GAZP;60;05/07/23;210000;165.8300000
GAZP;60;05/07/23;220000;165.8500000
GAZP;60;05/07/23;230000;165.8600000
GAZP;60;06/07/23;000000;165.7100000
GAZP;60;06/07/23;110000;166.3300000
GAZP;60;06/07/23;120000;166.9700000
GAZP;60;06/07/23;130000;166.7400000
GAZP;60;06/07/23;140000;166.9200000
GAZP;60;06/07/23;150000;166.9900000
GAZP;60;06/07/23;160000;166.5500000
GAZP;60;06/07/23;170000;166.3800000
GAZP;60;06/07/23;180000;166.5000000
GAZP;60;06/07/23;190000;166.9800000
GAZP;60;06/07/23;200000;166.7800000
GAZP;60;06/07/23;210000;166.6100000
GAZP;60;06/07/23;220000;166.6800000
GAZP;60;06/07/23;230000;166.6000000
GAZP;60;07/07/23;000000;166.3600000
GAZP;60;07/07/23;110000;166.1500000
GAZP;60;07/07/23;120000;166.2100000
GAZP;60;07/07/23;130000;166.1000000
GAZP;60;07/07/23;140000;166.1000000
GAZP;60;07/07/23;150000;166.1800000
GAZP;60;07/07/23;160000;166.2100000
GAZP;60;07/07/23;170000;166.4700000
GAZP;60;07/07/23;180000;166.5100000
GAZP;60;07/07/23;190000;166.8100000
GAZP;60;07/07/23;200000;166.5500000
GAZP;60;07/07/23;210000;166.7000000
GAZP;60;07/07/23;220000;166.4900000
GAZP;60;07/07/23;230000;166.5500000
GAZP;60;08/07/23;000000;166.3400000
GAZP;60;10/07/23;110000;168.2900000
GAZP;60;10/07/23;120000;167.9300000
GAZP;60;10/07/23;130000;167.4800000
GAZP;60;10/07/23;140000;167.1700000
GAZP;60;10/07/23;150000;167.2500000
GAZP;60;10/07/23;160000;167.0300000
GAZP;60;10/07/23;170000;167.4500000
GAZP;60;10/07/23;180000;167.4300000
